สถาบัน,ชื่อหลักสูตร,ค่าใช้จ่าย,ลิงก์
มหาวิทยาลัยหอการค้าไทย,วิศวกรรมคอมพิวเตอร์,"340,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/40560107300501A
มหาวิทยาลัยรังสิต,วิศวกรรมคอมพิวเตอร์,"396,800 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/40680111300501A
มหาวิทยาลัยธุรกิจบัณฑิตย์,วิศวกรรมคอมพิวเตอร์,"337,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/41030102300501A
มหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า,วิศวกรรมคอมพิวเตอร์,"282,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/41800204300501A
มหาวิทยาลัยสยาม,วิศวกรรมคอมพิวเตอร์,"303,500 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/41810101300501A
สถาบันการจัดการปัญญาภิวัฒน์,วิศวกรรมคอมพิวเตอร์,"384,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/49180101303701A
มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วิศวกรรมปัญญาประดิษฐ์,"28,000 บาท/เทอม",https://course.mytcas.com/programs/10100101300502A
มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,วิศวกรรมปัญญาประดิษฐ์,"38,000 บาท/เทอม",https://course.mytcas.com/programs/10100329303701A
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมปัญญาประดิษฐ์,https://kmutt.me/TUITION-FEES-BS-KMUTT,https://course.mytcas.com/programs/10140136303701A
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมปัญญาประดิษฐ์,"175,000 ต่อภาคการศึกษา",https://course.mytcas.com/programs/10160101303701I
มหาวิทยาลัยอุบลราชธานี,วิศวกรรมปัญญาประดิษฐ์,"224,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10180113303703A
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,วิศวกรรมปัญญาประดิษฐ์,"110,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/31970104300502A
สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี,วิศวกรรมปัญญาประดิษฐ์,"384,000 บาท ตลอดหลักสูตร ",https://course.mytcas.com/programs/49180101303701A
